Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Beta-carotene (µg),Folate (µg),Lutein+Zeaxanthin (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
1/1/2021,8:28 PM,Lunch,"Salsa, Store Bought",3.00 tbsp,14.08,0,0,43.36,0.02,0.02,0.53,0.1,0.08,0,134.03,1.94,99.07,223.87,0.92,0,0.62,2.09,14.57,0.03,0.2,7.28,0.05,16.03,133.54,0.44,345.27,0.09,3.22,0.92,0,1.95,2.3,0.08,0,0.01,0.04,0.01,0,0,0,0.01,0.01,0.02,0.03,0.03,0.01,0.02,0.74,0.02,0.01,0.01,0.02,"Soups, Sauces, and Gravies"
1/1/2021,8:28 PM,Lunch,Hass Avocado,1.00 each,227.12,0,0,98.37,0.1,0.19,2.6,1.99,0.39,0,85.68,121.04,368.56,199.92,11.97,0,2.62,28.56,17.68,0.23,0.83,39.44,0.2,73.44,689.52,0.54,10.88,0.92,11.75,9.25,0.15,0.41,2.5,20.96,0,13.33,2.47,2.89,0,0.15,2.3,0.04,0.07,0.11,0.19,0.18,0.05,0.13,2.67,0.1,0.03,0.07,0.14,Fruits and Fruit Juices
1/1/2021,8:29 PM,Dinner,Hummus,3.00 tbsp,80.07,0,0,28.91,0.08,0.03,0.37,0.12,0.05,0,7.52,21.31,0.82,13.39,0.62,0,0.12,1.12,40.88,0.18,0.92,14.47,0.37,70.23,71.08,3.02,197.6,0.48,8.86,2.63,4.93,1.46,6.23,3.95,0,1.31,1.64,0.5,0.03,0.04,1.55,0.05,0.09,0.14,0.24,0.19,0.06,0.17,3.3,0.13,0.04,0.1,0.15,Legumes and Legume Products
1/1/2021,8:29 PM,Dinner,"Pita Bread, Whole Wheat","1.00 small - 4"" diameter",73.36,0,0,8.57,0.09,0.02,0.8,0.23,0.07,0,1.12,9.8,14.84,1.68,0,0,0.17,0.39,4.2,0.08,0.86,19.32,0.49,50.4,47.6,12.32,117.88,0.43,15.65,1.71,12.15,0.8,13.94,0.48,0,0.1,0.3,0.11,0,0.01,0.18,0.06,0.06,0.1,0.19,0.07,0.04,0.13,2.74,0.08,0.04,0.08,0.12,Baked Products
1/1/2021,8:30 PM,Dinner,"Eggplant, Cooked","0.50 cup, cubed",17.32,0,0,44.39,0.04,0.01,0.3,0.04,0.04,0,10.89,6.93,0,18.31,0.64,0,0.2,1.44,2.97,0.03,0.12,5.44,0.06,7.42,60.88,0.05,0.49,0.06,4.32,1.24,0.33,1.58,3.08,0.11,0,0.01,0.05,0.02,0,0.01,0,0,0.01,0.02,0.03,0.02,0,0.02,0.41,0.01,0,0.01,0.02,Vegetables and Vegetable Products
1/1/2021,8:32 PM,Dinner,"Stuffed Grape Leaves, without Meat",1.00 roll,38.58,0,0,14.38,0.02,0.03,0.41,0.3,0.02,0,213.91,9.08,124.4,388.68,4.62,0,0.54,16.83,20.19,0.12,0.34,3.22,0.08,7.98,21.26,0.49,176.33,0.09,2.61,0.7,1.22,0.32,1.91,3.05,0,2.03,0.45,0.41,0,0.05,0.38,0,0.01,0.02,0.04,0.02,0.01,0.03,0.53,0.02,0,0.02,0.03,"Meals, Entrees, and Sidedishes"
1/1/2021,8:33 PM,Dinner,Tabbouleh Salad,0.30 cup,47.21,0,0,40.29,0.02,0.02,0.28,0.07,0.03,0,214,10.82,206.71,374.11,6.83,0,0.45,54.45,11.43,0.03,0.34,9,0.11,16.19,91.04,1.79,20.81,0.14,3.41,0.81,1.49,0.83,2.6,3.73,0,0.84,2.13,0.59,0.02,0.25,1.85,0.01,0.01,0.02,0.04,0.02,0.01,0.03,0.66,0.02,0.01,0.02,0.03,Vegetables and Vegetable Products
1/1/2021,8:29 PM,Snack,Dark Chocolate Covered Almonds,20.00 piece,294.81,0,19.33,0.81,0.03,0.12,0.63,0.17,0.03,0.1,11.77,9.14,14.02,22.65,0,11.72,2.43,3.64,48.1,0.55,2.4,88.65,0.82,133.6,313.78,1.7,10.88,1.17,29.34,4.21,1.77,21.91,25.13,18.32,3.6,6.98,1.54,8.65,0.05,0.04,1.48,0.05,0.08,0.15,0.26,0.16,0.04,0.2,4,0.14,0.05,0.12,0.2,Sweets
1/1/2021,8:33 PM,Snack,"Lindt Excellence, 85% cocoa",0.33 x 3.0 pieces,56.1,,,,,,,,,,,,,,,0,,,8.25,,0.99,,,,36.96,,3.3,,3.63,1.32,,1.32,2.31,4.62,0,,,2.64,0,,,,,,,,,,1.32,,,,,Sweets
1/3/2021,2:27 PM,Breakfast,"Coffee, Prepared From Grounds",24.00 fl oz,7.1,0,284.17,706.08,0.1,0.54,1.36,1.8,0.01,0,0,14.21,0,0,0,0,0.07,0.71,14.21,0.01,0.07,21.31,0.16,21.31,348.1,0,14.21,0.14,3.34,3.34,0,0,0,0.14,0,0.11,0.01,0.01,0,0,0,0.01,0.01,0.01,0.04,0.01,0,0.02,0.85,0.01,0,0.01,0.02,Beverages
1/3/2021,2:27 PM,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",2.00 cup,147.92,0,0,451.79,0.13,1.02,0.35,0.16,0.2,6,4.3,49.09,0,999.99,1.46,240.08,0.3,16.51,600,0.35,2.16,80,0.71,210.7,600,11.2,169.9,1.2,7.19,5.16,0,2.03,2.03,7.71,0,1.71,4.35,1.12,0,0.52,3.78,0.23,0.38,0.69,1.17,0.95,0.19,0.75,15.66,0.62,0.21,0.54,0.71,Beverages
1/3/2021,2:27 PM,Breakfast,"Vega One, All In One Shake, Chocolate",1.20 scoop,216,,,,0.96,1.08,16.32,6.12,1.2,1.8,,252,,480,48,336,12.24,70.8,216,,8.4,48,,264,564,,264,,18,4.8,,1.2,13.2,7.2,0,1.2,3.6,1.2,0,,,,,,,,,,24,,,,,Beverages
1/3/2021,2:27 PM,Breakfast,"Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0,0,88.39,0.04,0.09,0.78,0.39,0.43,0,30.68,23.6,25.96,75.52,10.27,0,0.15,0.59,5.9,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,23.88,0.39,0,0.04,0.09,0.13,0,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,Fruits and Fruit Juices
1/3/2021,2:28 PM,Breakfast,"Blueberries, Fresh","0.80 cup, whole pieces",67.49,0,0,99.7,0.04,0.05,0.49,0.15,0.06,0,37.89,7.1,94.72,63.94,11.48,0,0.69,22.85,7.1,0.07,0.33,7.1,0.4,14.21,91.17,0.12,1.18,0.19,17.16,2.84,0.04,11.79,14.31,0.39,0,0.06,0.17,0.03,0,0.07,0.1,0.01,0.01,0.03,0.05,0.02,0.01,0.03,0.88,0.02,0,0.01,0.04,Fruits and Fruit Juices
1/3/2021,2:28 PM,Lunch,Hass Avocado,1.00 each,227.12,0,0,98.37,0.1,0.19,2.6,1.99,0.39,0,85.68,121.04,368.56,199.92,11.97,0,2.62,28.56,17.68,0.23,0.83,39.44,0.2,73.44,689.52,0.54,10.88,0.92,11.75,9.25,0.15,0.41,2.5,20.96,0,13.33,2.47,2.89,0,0.15,2.3,0.04,0.07,0.11,0.19,0.18,0.05,0.13,2.67,0.1,0.03,0.07,0.14,Fruits and Fruit Juices
1/3/2021,2:28 PM,Lunch,"Tomato Raw, Includes Cherry, Grape, Roma",1.50 roma,14.41,0,0,75.66,0.03,0.02,0.48,0.07,0.06,0,359.41,12.01,98.46,666.78,10.97,0,0.43,6.32,8,0.05,0.22,8.81,0.09,19.21,189.71,0,4,0.14,3.11,0.96,0,2.11,2.15,0.16,0,0.02,0.07,0.02,0,0,0,0.01,0.01,0.01,0.02,0.02,0,0.02,0.7,0.02,0,0.01,0.01,Vegetables and Vegetable Products
1/3/2021,2:29 PM,Lunch,"Mozzarella Cheese, Whole Milk","0.75 cup, diced",314.82,0,0,47.9,0.02,0.27,0.09,0.07,0.06,0.72,62.37,7.92,0,737.56,0,17.82,0.21,2.48,569.26,0.02,0.2,20.79,0.01,407.89,74.25,15.94,702.91,2.44,2.45,0,0,1,2.45,24.39,88.11,6.96,0.77,15.41,0.58,0.21,0.25,0.13,0.8,1.03,2.08,2.17,0.6,1.12,21.38,0.81,0.3,1.24,1.34,Dairy and Egg Products
1/3/2021,2:29 PM,Lunch,"Fiber One, 70 Calorie Brownie, Chocolate Chip Cookie",1.00 brownie,70,,,,,,,,,,,,,,,0,,,0,,0.4,,,,0,,90,,17,6,,2,11,2.5,0,,,1,0,,,,,,,,,,2,,,,,Sweets
1/3/2021,2:30 PM,Lunch,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",1.00 cup,73.96,0,0,225.9,0.07,0.51,0.17,0.08,0.1,3,2.15,24.55,0,499.99,0.73,120.04,0.15,8.26,300,0.17,1.08,40,0.35,105.35,300,5.6,84.95,0.6,3.59,2.58,0,1.02,1.01,3.86,0,0.85,2.18,0.56,0,0.26,1.89,0.11,0.19,0.35,0.58,0.48,0.1,0.37,7.83,0.31,0.1,0.27,0.36,Beverages
1/3/2021,2:30 PM,Lunch,"Almond Milk, Plain, Original, Unsweetened",0.50 cup,18,0,0,115.85,0,0.01,0.08,0.01,0,0,0,1.2,0,0,0,49.2,4.01,0,220.79,0.02,0.34,7.2,0.05,10.8,80.4,0.12,86.4,0.07,1.57,0.24,0.08,0.97,1.33,1.15,0,0.71,0.29,0.11,0,0,0.3,0,0.01,0.02,0.03,0.01,0,0.03,0.48,0.01,0,0.01,0.02,Beverages
1/3/2021,9:32 AM,Dinner,Spaghetti Squash,"2.50 cup, shredded",104.63,0,0,357.66,0.15,0.09,3.14,1.38,0.38,0,228.63,31,0,426.25,13.56,0,0.47,3.1,81.38,0.14,1.32,42.63,0.42,54.25,453.38,1.16,69.75,0.78,25.03,5.43,2.48,9.8,19.61,1.01,0,0.09,0.49,0.24,0,0.3,0.18,0.02,0.04,0.09,0.13,0.09,0.03,0.09,2.56,0.07,0.03,0.08,0.1,Vegetables and Vegetable Products
1/3/2021,9:32 AM,Dinner,"Marinara Sauce, Homemade",0.75 cup,109.31,0,0,195,0.69,0.11,1.51,0.36,0.27,0,473.87,21.42,184.23,796.61,32.92,0,2.18,22.96,59.97,0.16,1.56,26.16,0.24,47.94,463.8,4.57,695.27,0.36,10.98,3.7,0.53,6.6,7.28,7.37,0,1.64,4.16,1.15,0.04,0.47,3.44,0.03,0.04,0.06,0.08,0.08,0.02,0.07,2.17,0.09,0.02,0.04,0.05,"Soups, Sauces, and Gravies"
1/3/2021,9:33 AM,Dinner,"Don Lee Farms, Organic Veggie Burger",1.00 patty,170,,,,,,,,,,,,,,,0,,,33,,1,,,,262,,320,,22,2,,3,20,8,0,,,1,0,,,,,,,,,,4,,,,,Vegetables and Vegetable Products
1/3/2021,9:35 AM,Dinner,"Lindt Excellence, 85% cocoa",0.33 x 3.0 pieces,56.1,,,,,,,,,,,,,,,0,,,8.25,,0.99,,,,36.96,,3.3,,3.63,1.32,,1.32,2.31,4.62,0,,,2.64,0,,,,,,,,,,1.32,,,,,Sweets
1/3/2021,9:35 AM,Snack,Honey,4.00 tsp,85.88,0,0,4.83,0,0.01,0.03,0.02,0.01,0,0,0.57,0,0,0.14,0,0,0,1.7,0.01,0.12,0.57,0.02,1.13,14.69,0.23,1.13,0.06,23.28,0.06,0,23.2,23.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,Sweets
1/4/2021,9:36 AM,Breakfast,"Coffee, Prepared From Grounds",24.00 fl oz,7.1,0,284.17,706.08,0.1,0.54,1.36,1.8,0.01,0,0,14.21,0,0,0,0,0.07,0.71,14.21,0.01,0.07,21.31,0.16,21.31,348.1,0,14.21,0.14,3.34,3.34,0,0,0,0.14,0,0.11,0.01,0.01,0,0,0,0.01,0.01,0.01,0.04,0.01,0,0.02,0.85,0.01,0,0.01,0.02,Beverages
1/4/2021,9:36 AM,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",2.00 cup,147.92,0,0,451.79,0.13,1.02,0.35,0.16,0.2,6,4.3,49.09,0,999.99,1.46,240.08,0.3,16.51,600,0.35,2.16,80,0.71,210.7,600,11.2,169.9,1.2,7.19,5.16,0,2.03,2.03,7.71,0,1.71,4.35,1.12,0,0.52,3.78,0.23,0.38,0.69,1.17,0.95,0.19,0.75,15.66,0.62,0.21,0.54,0.71,Beverages
1/4/2021,9:36 AM,Breakfast,"Vega One, All In One Shake, Chocolate",1.10 scoop,198,,,,0.88,0.99,14.96,5.61,1.1,1.65,,231,,440,44,308,11.22,64.9,198,,7.7,44,,242,517,,242,,16.5,4.4,,1.1,12.1,6.6,0,1.1,3.3,1.1,0,,,,,,,,,,22,,,,,Beverages
1/4/2021,9:36 AM,Breakfast,"Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0,0,88.39,0.04,0.09,0.78,0.39,0.43,0,30.68,23.6,25.96,75.52,10.27,0,0.15,0.59,5.9,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,23.88,0.39,0,0.04,0.09,0.13,0,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,Fruits and Fruit Juices
1/4/2021,9:36 AM,Breakfast,"Strawberries, Fresh","0.80 cup, halves",38.91,0,0,110.59,0.03,0.03,0.47,0.15,0.06,0,8.51,29.18,31.62,14.59,71.5,0,0.34,2.68,19.46,0.06,0.5,15.81,0.47,29.18,186.05,0.49,1.22,0.17,9.34,2.43,0.05,5.95,6.91,0.36,0,0.05,0.19,0.02,0,0.08,0.11,0.01,0.01,0.02,0.04,0.03,0,0.02,0.81,0.02,0.01,0.03,0.02,Fruits and Fruit Juices
1/4/2021,3:02 PM,Lunch,Spaghetti Squash,"0.75 cup, shredded",31.39,0,0,107.3,0.04,0.03,0.94,0.41,0.12,0,68.59,9.3,0,127.88,4.07,0,0.14,0.93,24.41,0.04,0.4,12.79,0.13,16.28,136.01,0.35,20.93,0.23,7.51,1.63,0.74,2.94,5.88,0.3,0,0.03,0.15,0.07,0,0.09,0.05,0.01,0.01,0.03,0.04,0.03,0.01,0.03,0.77,0.02,0.01,0.02,0.03,Vegetables and Vegetable Products
1/4/2021,3:02 PM,Lunch,"Don Lee Farms, Organic Veggie Burger",0.50 patty,85,,,,,,,,,,,,,,,0,,,16.5,,0.5,,,,131,,160,,11,1,,1.5,10,4,0,,,0.5,0,,,,,,,,,,2,,,,,Vegetables and Vegetable Products
1/4/2021,9:25 PM,Lunch,"Trail Mix, Nuts, Seeds, and Dried Fruit, without Chocolate, with Unsalted Nuts","0.30 cup, whole pieces",207.91,0,0,4.14,0.21,0.09,2.12,0.4,0.13,0,4.95,31.95,4.5,8.1,0.63,0,3.23,2.43,35.1,0.44,1.37,71.1,0.47,155.26,308.26,8.1,4.5,1.45,20.21,3.19,1.83,12.49,17.02,13.23,0,5.64,4.35,2.73,0,0.02,4.36,0.1,0.16,0.23,0.4,0.23,0.09,0.3,6.21,0.22,0.07,0.21,0.3,Snacks
1/4/2021,9:28 PM,Lunch,"Trader Joe's, Fiberful Granola Bars, Rolled Oats & Chocolate Chips",1.00 bar,120,,,,,,,,,,,,,0,0,,,,100,,1.08,,,,,,130,,22,9,,6,13,3.5,0,,,2,0,,,,,,,,,,5,,,,,Snacks
1/4/2021,9:31 PM,Dinner,"Salmon, Atlantic, Wild, Cooked",4.00 oz,206.38,0,0,67.61,0.31,0.55,11.43,2.18,1.07,3.46,0,32.89,0,49.9,0,394.63,4.5,0.83,17.01,0.36,1.17,41.96,0.02,290.3,712.14,53.07,63.5,0.93,0,0,0,0,0,9.22,80.51,3.06,3.69,1.43,0,3.05,0.64,0.31,0.85,1.33,2.34,2.65,0.85,1.13,28.85,1.26,0.32,0.97,1.49,Finfish and Shellfish Products
1/4/2021,9:35 PM,Dinner,"Potatoes, Pan Fried","1.25 cup, chopped",412.64,0,0,243.48,0.31,0.06,4.13,1.6,0.85,0,3.42,28.3,28.7,6.78,23.26,0,0.32,13.98,26,0.53,0.99,63.04,0.45,125.87,1032.28,0.95,755.32,0.85,62.95,6.47,49.7,2.8,56.49,16.39,0,8.92,2.75,4.24,3.59,0.11,1.31,0.07,0.12,0.22,0.33,0.33,0.09,0.24,5.39,0.2,0.09,0.2,0.3,Vegetables and Vegetable Products
1/4/2021,9:35 PM,Dinner,"Green Beans, Cooked from Fresh","1.00 cup, cut pieces",43.75,0,0,111.52,0.09,0.12,0.77,0.09,0.07,0,475,41.25,801.25,791.25,12.12,0,0.57,59.87,55,0.07,0.81,22.5,0.36,36.25,182.5,0.25,1.25,0.31,9.85,4,1.45,4.54,5.85,0.35,0,0.01,0.18,0.08,0,0.11,0,0.02,0.04,0.09,0.14,0.11,0.03,0.09,2.36,0.1,0.02,0.05,0.12,Vegetables and Vegetable Products
1/4/2021,9:36 PM,Dinner,"Red Bell Peppers, Raw","0.70 ring - 3"" diameter x 1/4""",1.82,0,0,6.45,0,0.01,0.07,0.02,0.02,0,113.68,3.22,3.57,219.17,8.94,0,0.11,0.34,0.49,0,0.03,0.84,0.01,1.82,14.77,0.01,0.28,0.02,0.42,0.15,0,0.29,0.28,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,Vegetables and Vegetable Products
1/4/2021,9:36 PM,Dinner,Nestle Toll House Chocolate Chips,2.00 Tablespoon,140,,,,,,,,,,,,,,,,,,,,,,,,,,0,,18,,,16,18,8,0,,,5,,,,,,,,,,,,,,,,Sweets
1/4/2021,10:24 AM,Snack,"Coffee, Prepared From Grounds",12.00 fl oz,3.55,0,142.08,353.04,0.05,0.27,0.68,0.9,0,0,0,7.1,0,0,0,0,0.04,0.36,7.1,0.01,0.04,10.66,0.08,10.66,174.05,0,7.1,0.07,1.67,1.67,0,0,0,0.07,0,0.05,0,0.01,0,0,0,0.01,0.01,0.01,0.02,0,0,0.01,0.43,0,0,0.01,0.01,Beverages
1/4/2021,10:25 AM,Snack,"Orgain, Organic Protein Powder, Sweet Vanilla Bean",0.40 x 2.0 rounded scoops,60,,,,,,,,,,,,,0,0,,,,16,,1.08,,,,24,,72,,6,2,,0.4,4,1.4,0,,,0,0,,,,,,,,,,8.4,,,,,Supplements
1/4/2021,10:25 AM,Snack,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",1.00 cup,73.96,0,0,225.9,0.07,0.51,0.17,0.08,0.1,3,2.15,24.55,0,499.99,0.73,120.04,0.15,8.26,300,0.17,1.08,40,0.35,105.35,300,5.6,84.95,0.6,3.59,2.58,0,1.02,1.01,3.86,0,0.85,2.18,0.56,0,0.26,1.89,0.11,0.19,0.35,0.58,0.48,0.1,0.37,7.83,0.31,0.1,0.27,0.36,Beverages
1/4/2021,10:25 AM,Snack,"Eggs, Cooked",1.00 medium,68.2,0,0,32.83,0.03,0.23,0.03,0.62,0.05,0.49,4.84,19.36,155.32,228.8,0,38.28,0.45,0.13,22,0.01,0.52,4.4,0.01,75.68,55.44,13.55,54.56,0.46,0.49,0,0,0.49,0.49,4.67,164.12,1.79,0.62,1.44,0,0.03,0.58,0.13,0.13,0.3,0.47,0.4,0.17,0.29,5.54,0.27,0.07,0.23,0.34,Dairy and Egg Products
1/5/2021,11:56 AM,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",3.00 cup,221.88,0,0,677.69,0.2,1.53,0.52,0.23,0.3,9,6.45,73.64,0,1499.98,2.19,360.12,0.45,24.77,899.99,0.52,3.24,120,1.06,316.05,899.99,16.8,254.86,1.8,10.78,7.74,0,3.05,3.04,11.57,0,2.56,6.53,1.68,0,0.77,5.67,0.34,0.58,1.04,1.75,1.43,0.29,1.12,23.49,0.93,0.31,0.81,1.07,Beverages
1/5/2021,11:56 AM,Breakfast,"Coffee, Prepared From Grounds",30.00 fl oz,8.88,0,355.21,882.6,0.12,0.67,1.7,2.26,0.01,0,0,17.76,0,0,0,0,0.09,0.89,17.76,0.02,0.09,26.64,0.2,26.64,435.13,0,17.76,0.18,4.17,4.17,0,0,0,0.18,0,0.13,0.01,0.02,0,0,0,0.02,0.02,0.02,0.04,0.01,0,0.03,1.07,0.01,0,0.02,0.03,Beverages
1/5/2021,11:57 AM,Breakfast,"Vega One, All In One Shake, Chocolate",1.40 scoop,252,,,,1.12,1.26,19.04,7.14,1.4,2.1,,294,,560,56,392,14.28,82.6,252,,9.8,56,,308,658,,308,,21,5.6,,1.4,15.4,8.4,0,1.4,4.2,1.4,0,,,,,,,,,,28,,,,,Beverages
